Path,Line,Pattern,Snippet
"Assets/ControlMaps/PointerControls.cs",596,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.controlSchemes"" />"
"Assets/ControlMaps/PointerControls.cs",599,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.Contains(InputAction)"" />"
"Assets/ControlMaps/PointerControls.cs",605,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.GetEnumerator()"" />"
"Assets/ControlMaps/PointerControls.cs",617,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.Enable()"" />"
"Assets/ControlMaps/PointerControls.cs",623,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.Disable()"" />"
"Assets/ControlMaps/PointerControls.cs",629,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.bindings"" />"
"Assets/ControlMaps/PointerControls.cs",632,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.FindAction(string, bool)"" />"
"Assets/ControlMaps/PointerControls.cs",638,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.FindBinding(InputBinding, out InputAction)"" />"
"Assets/ControlMaps/PointerControls.cs",667,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionMap.Enable()"" />"
"Assets/ControlMaps/PointerControls.cs",669,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionMap.Disable()"" />"
"Assets/ControlMaps/PointerControls.cs",671,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionMap.enabled"" />"
"Assets/ControlMaps/PointerControls.cs",743,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputControlScheme"" />"
"Assets/ControlMaps/PointerControls.cs",756,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputControlScheme"" />"
"Assets/ControlMaps/PointerControls.cs",769,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputControlScheme"" />"
"Assets/ControlMaps/PointerControls.cs",786,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// Method invoked when associated input action ""point"" is either <see cref=""UnityEngine.InputSystem.InputAction.started"" />, <see cref=""UnityEngine.InputSystem.InputAction.performed"" /> or <see cref=""UnityEngine.InputSystem.InputAction.can …"
"Assets/ControlMaps/PointerControls.cs",788,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.started"" />"
"Assets/ControlMaps/PointerControls.cs",789,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.performed"" />"
"Assets/ControlMaps/PointerControls.cs",790,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.canceled"" />"
"Assets/Editor/SensorUsageScannerWindow.cs",54,"Unity Old Input System : \bInput\.compass\b|\bCompass\b","@""\bInput\.compass\b|\bCompass\b"","
"Assets/Editor/SensorUsageScannerWindow.cs",63,"Unity Old Input System : \bInput\.gyro\b|\bGyroscope\b","@""\b(Accelerometer|Gyroscope|Compass|AttitudeSensor|GravitySensor|LinearAccelerationSensor|OrientationSensor|Magnetometer|Barometer|ProximitySensor|LightSensor|StepCounter|Pedometer)\b"""
"Assets/Editor/SensorUsageScannerWindow.cs",68,"Unity Old Input System : \bInput\.gyro\b|\bGyroscope\b","@""\bTYPE_(ACCELEROMETER|GYROSCOPE|MAGNETIC_FIELD|GRAVITY|LINEAR_ACCELERATION|ROTATION_VECTOR|PROXIMITY|LIGHT|STEP_(COUNTER|DETECTOR))\b"","
"Assets/Editor/SensorUsageScannerWindow.cs",69,"Android Native / Java 调用 : \bSensorManager\b|\bSENSOR_SERVICE\b|\bandroid\.hardware\.Sensor\b|\bgetDefaultSensor\b|\bregisterListener\b","@""\bgetSystemService\(\s*Context\.SENSOR_SERVICE"","
"Assets/Editor/SensorUsageScannerWindow.cs",71,"Android Native / Java 调用 : \bSensorManager\b|\bSENSOR_SERVICE\b|\bandroid\.hardware\.Sensor\b|\bgetDefaultSensor\b|\bregisterListener\b","@""\bAndroidJava(Object|Class)\b.*SensorManager"""
"Assets/Resources/InputData/MyInput.cs",15,"Unity New Input System : \bUnityEngine\.InputSystem\b","using UnityEngine.InputSystem;"
"Assets/Resources/InputData/MyInput.cs",16,"Unity New Input System : \bUnityEngine\.InputSystem\b","using UnityEngine.InputSystem.Utilities;"
"Assets/Resources/InputData/MyInput.cs",27,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// using UnityEngine.InputSystem;"
"Assets/Resources/InputData/MyInput.cs",1173,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.bindingMask"" />"
"Assets/Resources/InputData/MyInput.cs",1180,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.devices"" />"
"Assets/Resources/InputData/MyInput.cs",1187,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.controlSchemes"" />"
"Assets/Resources/InputData/MyInput.cs",1190,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.Contains(InputAction)"" />"
"Assets/Resources/InputData/MyInput.cs",1196,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.GetEnumerator()"" />"
"Assets/Resources/InputData/MyInput.cs",1208,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.Enable()"" />"
"Assets/Resources/InputData/MyInput.cs",1214,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.Disable()"" />"
"Assets/Resources/InputData/MyInput.cs",1220,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.bindings"" />"
"Assets/Resources/InputData/MyInput.cs",1223,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.FindAction(string, bool)"" />"
"Assets/Resources/InputData/MyInput.cs",1229,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.FindBinding(InputBinding, out InputAction)"" />"
"Assets/Resources/InputData/MyInput.cs",1303,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionMap.Enable()"" />"
"Assets/Resources/InputData/MyInput.cs",1305,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionMap.Disable()"" />"
"Assets/Resources/InputData/MyInput.cs",1307,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionMap.enabled"" />"
"Assets/Resources/InputData/MyInput.cs",1478,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionMap.Enable()"" />"
"Assets/Resources/InputData/MyInput.cs",1480,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionMap.Disable()"" />"
"Assets/Resources/InputData/MyInput.cs",1482,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionMap.enabled"" />"
"Assets/Resources/InputData/MyInput.cs",1609,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionMap.Enable()"" />"
"Assets/Resources/InputData/MyInput.cs",1611,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionMap.Disable()"" />"
"Assets/Resources/InputData/MyInput.cs",1613,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionMap.enabled"" />"
"Assets/Resources/InputData/MyInput.cs",1691,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputControlScheme"" />"
"Assets/Resources/InputData/MyInput.cs",1704,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputControlScheme"" />"
"Assets/Resources/InputData/MyInput.cs",1717,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputControlScheme"" />"
"Assets/Resources/InputData/MyInput.cs",1730,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputControlScheme"" />"
"Assets/Resources/InputData/MyInput.cs",1743,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputControlScheme"" />"
"Assets/Resources/InputData/MyInput.cs",1760,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// Method invoked when associated input action ""Navigate"" is either <see cref=""UnityEngine.InputSystem.InputAction.started"" />, <see cref=""UnityEngine.InputSystem.InputAction.performed"" /> or <see cref=""UnityEngine.InputSystem.InputAction. …"
"Assets/Resources/InputData/MyInput.cs",1762,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.started"" />"
"Assets/Resources/InputData/MyInput.cs",1763,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.performed"" />"
"Assets/Resources/InputData/MyInput.cs",1764,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.canceled"" />"
"Assets/Resources/InputData/MyInput.cs",1767,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// Method invoked when associated input action ""Submit"" is either <see cref=""UnityEngine.InputSystem.InputAction.started"" />, <see cref=""UnityEngine.InputSystem.InputAction.performed"" /> or <see cref=""UnityEngine.InputSystem.InputAction.ca …"
"Assets/Resources/InputData/MyInput.cs",1769,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.started"" />"
"Assets/Resources/InputData/MyInput.cs",1770,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.performed"" />"
"Assets/Resources/InputData/MyInput.cs",1771,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.canceled"" />"
"Assets/Resources/InputData/MyInput.cs",1774,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// Method invoked when associated input action ""Cancel"" is either <see cref=""UnityEngine.InputSystem.InputAction.started"" />, <see cref=""UnityEngine.InputSystem.InputAction.performed"" /> or <see cref=""UnityEngine.InputSystem.InputAction.ca …"
"Assets/Resources/InputData/MyInput.cs",1776,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.started"" />"
"Assets/Resources/InputData/MyInput.cs",1777,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.performed"" />"
"Assets/Resources/InputData/MyInput.cs",1778,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.canceled"" />"
"Assets/Resources/InputData/MyInput.cs",1781,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// Method invoked when associated input action ""Point"" is either <see cref=""UnityEngine.InputSystem.InputAction.started"" />, <see cref=""UnityEngine.InputSystem.InputAction.performed"" /> or <see cref=""UnityEngine.InputSystem.InputAction.can …"
"Assets/Resources/InputData/MyInput.cs",1783,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.started"" />"
"Assets/Resources/InputData/MyInput.cs",1784,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.performed"" />"
"Assets/Resources/InputData/MyInput.cs",1785,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.canceled"" />"
"Assets/Resources/InputData/MyInput.cs",1788,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// Method invoked when associated input action ""Click"" is either <see cref=""UnityEngine.InputSystem.InputAction.started"" />, <see cref=""UnityEngine.InputSystem.InputAction.performed"" /> or <see cref=""UnityEngine.InputSystem.InputAction.can …"
"Assets/Resources/InputData/MyInput.cs",1790,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.started"" />"
"Assets/Resources/InputData/MyInput.cs",1791,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.performed"" />"
"Assets/Resources/InputData/MyInput.cs",1792,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <seealso cref=""UnityEngine.InputSystem.InputAction.canceled"" />"
